client_id,first_name,last_name,email,phone_number,date_of_birth,risk_profile,investment_objective,created_at
a4ee56ab-c7c4-4156-97f6-a0ff6ff35b3d,Tanya,Jenkins,mwise@example.net,(722)392-2050,1945-03-14,Conservative,Speculation,2023-01-27 21:31:57
f2cc681e-5180-43fa-864e-fd899a8a8387,John,Williams,melissa92@example.org,330-331-4273x2329,1958-03-19,Conservative,Growth,2020-09-04 20:16:48
67f5eecd-0c13-46ff-9149-202128fd3348,Timothy,Bryan,danielcampbell@example.org,+1-964-614-1365,1982-10-13,Moderate,Speculation,2023-06-26 13:15:08
170b134a-1895-4160-965a-feceec9ff8c0,Leah,Garza,dmaynard@example.net,760-814-7033,1991-09-27,Moderate,Speculation,2020-07-21 07:10:15
1a269d63-05d7-416f-b0d1-54f7971814c7,Sandra,Moran,veronica70@example.com,956.903.4010x305,1976-12-05,Conservative,Capital Preservation,2021-01-22 04:44:17
53be10cb-cc3d-4e92-afd5-bfe5b3779b23,Kristin,Sanchez,whitekari@example.com,001-965-451-9010,1969-07-21,Aggressive,Capital Preservation,2024-07-28 00:50:26
7fe4d010-52df-4d78-b0ef-de18c368cdd8,Alyssa,Garcia,brianevans@example.com,(397)320-9584,1992-01-26,Aggressive,Capital Preservation,2024-04-05 10:15:21
e08648d5-1949-4f6e-9ad8-ef3a8d37657f,Sarah,Williams,anthony76@example.org,772-347-2226,1959-12-09,Conservative,Capital Preservation,2022-09-07 10:35:31
3646993a-2915-4253-96b3-9478e3cc93c6,Michael,Tran,ilopez@example.org,794-345-6226x81510,1957-12-14,Moderate,Capital Preservation,2021-09-20 11:00:54
c1802793-bb54-42c3-8953-78ff73f02c58,Misty,Kidd,michaela18@example.com,4339033575,1960-04-09,Conservative,Growth,2020-08-28 03:48:49
003efa72-c88e-4ba7-9d05-27e2434cad0c,Jenny,Rodriguez,pholt@example.com,+1-303-363-7452x34265,1991-10-19,Conservative,Growth,2022-08-31 12:05:27
ff23c36d-7ba8-4f80-9f17-bff61347ac23,Kevin,Freeman,robyn94@example.net,001-377-961-2532x1835,1991-03-22,Aggressive,Speculation,2021-11-12 11:30:26
4f641dcc-a3ab-4ef2-811c-ec47fb7e3069,Dylan,Spencer,michelle09@example.net,(999)484-6475,1948-04-25,Moderate,Income,2023-10-02 12:09:45
d1c3bb17-fbdf-4f99-8aae-ba65d2bf4ec3,Cynthia,Gonzalez,burtontoni@example.org,001-584-676-8041x64641,1953-06-05,Moderate,Income,2022-05-18 22:53:37
6f3d1793-a041-4575-9468-fd14d776a664,Christopher,Nelson,ehunt@example.org,(378)302-8822,1953-01-23,Moderate,Speculation,2022-11-02 07:14:58
e74860e8-dcd6-43a0-967d-5f90449d001b,Paul,Johnson,jmiller@example.org,438-236-9857x15731,2000-03-19,Aggressive,Capital Preservation,2020-06-21 04:44:17
46592d43-e72b-4ac1-8b6d-206bba3fa012,Sonia,Green,zpittman@example.net,+1-870-983-7831,1976-06-13,Conservative,Capital Preservation,2023-04-08 06:29:47
4293d30d-5f2e-43d6-a230-96c2229111c5,Christine,Barnes,alexanderjackson@example.net,901-513-1884,1952-04-16,Conservative,Capital Preservation,2022-12-14 19:45:10
786c7886-a7c8-4ecc-aaef-74b5bfb7136b,Phillip,Morgan,sarah21@example.com,259-763-0765,1986-08-15,Conservative,Speculation,2022-10-14 03:32:02
3d1dcd27-4b3a-48ca-96ab-a1ac1d119fdc,Marcus,Douglas,christopherhammond@example.org,(440)635-7891,1951-12-12,Moderate,Capital Preservation,2022-03-01 00:34:18
c503898a-bb05-4d83-86fc-5a43616021b7,Scott,Cantu,parrishzachary@example.net,335.980.8063x59664,1960-12-06,Aggressive,Speculation,2021-02-25 13:39:27
057d54ce-9423-45d5-830d-382b80d59742,Raymond,Randolph,cooktyler@example.org,(515)279-3472,1983-07-12,Conservative,Growth,2023-05-08 03:32:44
c04e6ba4-b4e7-492d-9ae2-17997e33c502,Vanessa,Ware,rbowen@example.net,510.311.7816,1951-01-13,Moderate,Income,2020-09-30 06:11:21
879743c9-1215-4a06-bd31-01d4de40b325,Michelle,Bruce,josephgraves@example.com,001-578-327-6258x1698,1950-10-18,Moderate,Growth,2022-10-04 03:32:32
a957833e-5d07-48a0-9498-fcd828ec6824,Manuel,Preston,jenniferanthony@example.org,888-831-8595x413,1970-03-19,Aggressive,Income,2022-09-18 07:12:52
fa5d20f3-177f-4460-8a8d-f65da1cfde77,Jordan,Hartman,ffowler@example.org,274-924-0180,1950-03-27,Conservative,Capital Preservation,2021-05-30 06:43:46
244b2d17-e027-41a9-997e-c86d2f478b63,Rebecca,Dudley,fjohnson@example.net,(694)277-6619x5768,1952-11-02,Moderate,Speculation,2021-08-08 07:32:49
60b48204-3c92-4df9-87a9-8d707fdc2a3a,Joseph,Ellis,staceynielsen@example.net,(697)924-9740x0486,1952-10-03,Aggressive,Growth,2022-07-06 03:14:21
a0dfbc50-100f-48ec-8f74-0722a2b02d7d,Nicole,Jacobson,katherine42@example.net,001-407-985-6963x825,1973-07-17,Conservative,Capital Preservation,2022-01-29 21:12:06
b01eb628-168d-433b-a77b-07c3457b8daf,Tanya,White,vmorales@example.net,3145335770,1998-01-03,Moderate,Speculation,2022-12-05 07:04:10
f953a9e9-22ef-49e6-8b73-382480208a87,Shannon,Garrison,angelicafrancis@example.com,779.386.0780x90823,1949-07-30,Moderate,Income,2023-11-16 21:05:22
80abbb4a-f06a-49cb-bf35-b5ae7c8b1485,Jennifer,Marks,brian97@example.org,001-434-989-3204,1980-06-12,Moderate,Income,2025-04-02 17:16:03
4f0ce0c9-09b8-43bc-b92e-7e4d0c28547f,Jeremy,Ross,xcoleman@example.org,001-489-820-8479,1975-06-21,Conservative,Capital Preservation,2020-12-14 05:03:20
d073ae6a-03a8-46e6-bfb0-5980b4ca61c6,Terri,Griffith,burtonsamuel@example.net,401-365-5539,1956-05-18,Conservative,Capital Preservation,2024-10-06 20:31:13
e8082052-7bad-4004-a5db-cb6e8bff7129,Lydia,Brown,zwilliamson@example.net,609-518-4008x582,1978-03-11,Aggressive,Capital Preservation,2021-06-22 09:33:52
b2e51745-f9f0-48ac-8c06-b3be49a19e31,Michelle,Brown,kimberlywilliams@example.org,(874)411-1560x07882,1951-05-30,Moderate,Growth,2021-12-21 23:20:56
b859b320-5d6d-4dfd-af86-0d9cc8cc8fab,Christine,Molina,ortizjason@example.net,+1-732-294-3326,2000-06-04,Aggressive,Capital Preservation,2023-05-29 12:57:07
